VoucherCodeId,Code,Description,ActivationDate,ExpiryDate,CategoryName,Status,Merchant,Product,Type,Discount
535,OMG14,Get Flat 5% Off on Hotels,07-08-2014 00:00,31-03-2015 00:00,Travel,Active,Expedia,Hotels,,
544,OMG5,Flat 5% on hotels excluding hotels listed on http://www.hotels.com/deals/hotel-exclusions_apac/,01-08-2014 00:00,31-03-2015 00:00,Travel,Active,Hotels.com,Hotels,,
571,SOFSEPT14,Flat 50% OFF at Basics Life - Axis Bank,01-09-2014 00:00,,Shopping,Active,Basicslife.com,Basicslife (CPS),,
592,AXISTGHTL,FLAT 12% OFF On Rs.1500 & above booking value. Max discount amt Rs.3000. Only for Axis Bank card users.,01-09-2014 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
594,TGHTLKOTAK,FLAT 12% OFF On Rs.2000 & above booking value. Max discount amt Rs.3000.Only for Kotak Bank card users.,01-09-2014 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
595,STANCHTL10,FLAT 10% OFF Maximum discount of Rs. 4000. Only for Standard Chartered Bank card users,01-09-2014 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
597,DOCOMO10,Flat 10% off Maximum discount of Rs. 4000. Only for TATA Docomo customers,01-09-2014 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
655,EXPEDIA50,Get additional 50% off on using coupon,01-10-2014 00:00,31-03-2015 00:00,Travel,Active,Expedia,Hotels,,
728,M999,Diwali - Bhaidooj Best Gifts Below 999,01-10-2014 00:00,31-10-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
729,MDS31,Diwali Sale - Flat 20% + Extra 30% OFF ,01-10-2014 00:00,31-10-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
730,MKE45,10% off on Karwa Chauth Express Gifts,01-10-2014 00:00,31-10-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
731,MDP23,10% off on Diwali Gifts,01-10-2014 00:00,31-10-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
732,MGS55,10% off on Global Gifts,01-10-2014 00:00,31-10-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
733,KGM35,15% off Karwachauth Gifts ,01-10-2014 00:00,31-10-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
780,MAG55,10% off on entire site,10-11-2014 00:00,01-11-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
789,MPG77,10% off on Personalized Gifts- Season Best Sellers,12-11-2014 00:00,01-12-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
884,WMG22,10% off on Gifts,02-12-2014 00:00,01-12-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
887,OMGDEC40,"Percentage discount: 40% , Max. discount is Rs. 200",12-01-2014 00:00,01-06-2015 00:00,Shopping,Active,Justeat.in,Repeat User,,
1005,No Coupon Required,Extra 5% cashback from HDFC transactions of INR4000 and above,01-08-2014 00:00,30-03-2015 00:00,Shopping,Active,Snapdeal.com,Sales,,
1051,GET25,Flat 25% off: Christmas Carnival,18-12-2014 00:00,01-04-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
1052,AFN33,Flat 10% on all New Year collection,18-12-2014 00:00,01-04-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
1325,MASTTG500,Flat INR 500 off on INR.2500 & above booking value,01-01-2015 00:00,31-03-2015 00:00,,Active,Travelguru.com,Hotel Coupon Sales,,
1326,MASTTG1000,Flat INR 1000 off on INR.6000 & above booking value,01-01-2015 00:00,31-03-2015 00:00,,Active,Travelguru.com,Hotel Coupon Sales,,
1327,MASTTG15PR,Flat 15% off on INR.8000 & above booking value + Maximum Disc of INR.4000,01-01-2015 00:00,31-03-2015 00:00,,Active,Travelguru.com,Hotel Coupon Sales,,
1328,No coupon required,"All the deals, offers, promotions collated and showcased on one page",01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1329,No coupon required,Last Minute Hotel Deals for Last Minute Plans!,01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1330,No coupon required,Great Deals & Advice on Weekend Getaways from “The Guru of Hotels”,01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1331,No coupon required,Discounted rates on best selling hotels,01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1332,No coupon required,Upto 50% off on hotel deals in Mumbai,01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1333,No coupon required,Get the Hottest Deals this forsty season,01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1334,No coupon required,Additional discounts on hotel booking with Travelguru this Christmas ,01-01-2015 00:00,31-03-2015 00:00,Travel,Active,Travelguru.com,Hotel Sales,,
1405,Apr-13,Get 10% off on Lohri Gifts,06-01-2015 00:00,31-05-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
1406,Apr-13,Get 10% off on Gifts for Pongal,06-01-2015 00:00,31-05-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
